year,imdb,title,clean_test,budget_2013$,binary_PASS,domgross_2013$,genres,prod_comps,overview,perc_women_producers,perc_women_directors
1988,tt0094862,childs play,ok,17726823,1,65480292.0,['Horror'],"['United Artists', 'David Kirschner Productions']",a single mother gives her son a beloved doll for his birthday only to discover that it is possessed by the soul of a serial killer,0.0,0.0
1988,tt0094947,dangerous liaisons,ok,27575058,1,68346751.0,"['Drama', 'Romance']","['Lorimar Film Entertainment', 'NFH Films', 'Warner Bros. Pictures']",in 18th century france marquise de merteuil asks her exlover vicomte de valmont to seduce the future wife of another exlover of hers in return for one last night with her yet things don’t go as planned,0.5,0.0
1988,tt0095016,die hard,ok,55150116,1,160231261.0,"['Action', 'Thriller']","['Gordon Company', 'Silver Pictures', '20th Century Fox']",nypd cop john mcclanes plan to reconcile with his estranged wife is thrown for a serious loop when minutes after he arrives at her office the entire building is overtaken by a group of terrorists with little help from the lapd wisecracking mcclane sets out to singlehandedly rescue the hostages and bring the bad guys down,0.0,0.0
1988,tt0095631,midnight run,men,59089410,0,75661244.0,"['Adventure', 'Comedy', 'Crime', 'Action', 'Thriller']","['City Light Films', 'Universal Pictures']",an accountant embezzles 15 million of mob money jumps bail and is chased by bounty hunters the fbi and the mafia,0.0,0.0
1988,tt0095687,my stepmother is an alien,ok,31514352,1,27287490.0,"['Comedy', 'Science Fiction']","['Weintraub Entertainment Group', 'The Catalina Production Group', 'Columbia Pictures']",trying to rescue her home planet from destruction a gorgeous extraterrestrial named celeste arrives on earth and begins her scientific research she woos quirky scientist dr steve mills a widower with a young daughter before long celeste finds herself in love with steve and her new life on earth where she experiences true intimacy for the first time but when she loses sight of her mission she begins to question where she belongs,0.0,0.0
1988,tt0095690,mystic pizza,ok,11817882,1,25198114.0,"['Comedy', 'Drama', 'Romance']","['Night Light Films', 'Samuel Goldwyn Company']",three teenage girls come of age while working at a pizza parlor in mystic connecticut,0.0,0.0
1988,tt0095889,poltergeist iii,ok,18711647,1,27799598.0,"['Horror', 'Thriller']",['Metro-Goldwyn-Mayer'],carol anne has been sent to live with her aunt and uncle in an effort to hide her from the clutches of the ghostly reverend kane but he tracks her down and terrorises her in her relatives appartment in a tall glass building will he finally achieve his target and capture carol anne again or will tangina be able yet again to thwart him,0.0,0.0
1988,tt0095953,rain man,notalk,49241175,0,340405101.0,['Drama'],"['United Artists', 'Star Partners II Ltd.']",when car dealer charlie babbitt learns that his estranged father has died he returns home to cincinnati where he discovers that he has a savant older brother named raymond and that his fathers 3 million fortune is being left to the mental institution in which raymond lives motivated by his fathers money charlie checks raymond out of the facility in order to return with him to los angeles the brothers crosscountry trip ends up changing both their lives,0.0,0.0
1988,tt0096061,scrooged,ok,63028704,1,118825964.0,"['Fantasy', 'Comedy', 'Drama']","['Paramount', 'Mirage Productions']",frank cross is a wildly successful television executive whose cold ambition and curmudgeonly nature has driven away the love of his life but after firing staff member eliot loudermilk  on christmas eve frank is visited by a series of ghosts who give him a chance to reevaluate his actions and right the wrongs of his past,0.0,0.0
1988,tt0095489,the land before time,ok,24226658,1,94725930.0,"['Family', 'Animation', 'Adventure']","['Sullivan Bluth Studios', 'Lucasfilm Animation', 'Universal Pictures', 'U-Drive Productions', 'Amblin Entertainment']",an orphaned brontosaurus named littlefoot sets off in search of the legendary great valley a land of lush vegetation where the dinosaurs can thrive and live in peace along the way he meets four other young dinosaurs each one a different species and they encounter several obstacles as they learn to work together in order to survive,0.0,0.0
1988,tt0095497,the last temptation of christ,men,13787529,0,16493007.0,['Drama'],"['Universal Pictures', 'Cineplex-Odeon Films']",jesus a humble judean carpenter beginning to see that he is the son of god is drawn into revolutionary action against the roman occupiers by judas  despite his protestations that love not violence is the path to salvation the burden of being the savior of mankind torments jesus throughout his life leading him to doubt,1.0,0.0
1988,tt0096256,they live,nowomen,7878588,0,25605411.0,"['Science Fiction', 'Action']","['Universal Pictures', 'Alive Films', 'Larry Franco Productions']",nada a wanderer without meaning in his life discovers a pair of sunglasses capable of showing the world the way it truly is as he walks the streets of los angeles nada notices that both the media and the government are comprised of subliminal messages meant to keep the population subdued and that most of the social elite are skullfaced aliens bent on world domination with this shocking discovery nada fights to free humanity from the mindcontrolling aliens,0.0,0.0
1988,tt0096320,twins,men,29544705,0,220475172.0,['Comedy'],['Universal Pictures'],julius and vincent benedict are the results of an experiment that would allow for the perfect child julius was planned and grows to athletic proportions vincent is an accident and is somewhat smaller in stature vincent is placed in an orphanage while julius is taken to a south seas island and raised by philosophers vincent becomes the ultimate low life and is about to be killed by loan sharks,0.0,0.0
1988,tt0096438,who framed roger rabbit,notalk,137875291,0,303547209.0,"['Fantasy', 'Animation', 'Comedy', 'Crime']","['Amblin Entertainment', 'Silver Screen Partners III', 'Touchstone Pictures']",toon star roger is worried that his wife jessica is playing pattycake with someone else so the studio hires detective eddie valiant to snoop on her but the stakes are quickly raised when marvin acme is found dead and roger is the prime suspect,0.0,0.0
1988,tt0096487,young guns,notalk,25605411,0,88095701.0,"['Western', 'Crime', 'Action', 'Adventure']",['Morgan Creek Productions'],a group of young gunmen led by billy the kid become deputies to avenge the murder of the rancher who became their benefactor but when billy takes their authority too far they become the hunted,0.0,0.0
1987,tt0092644,beverly hills cop ii,notalk,41007948,0,315074388.0,"['Action', 'Comedy', 'Crime']","['Eddie Murphy Productions', 'Paramount', 'Don Simpson/Jerry Bruckheimer Films']",axel heads for the land of sunshine and palm trees to find out who shot police captain andrew bogomil thanks to a couple of old friends axels investigation uncovers a series of robberies masterminded by a heartless weapons kingpin—and the chase is on,0.0,0.0
1987,tt0092991,evil dead ii,dubious,7176391,0,12144594.0,"['Horror', 'Comedy', 'Fantasy']","['Rosebud Releasing Corporation', 'Renaissance Pictures', 'Dino De Laurentiis Company']",ash williams and his girlfriend linda find a log cabin in the woods with a voice recording from an archeologist who had recorded himself reciting ancient chants from the book of the dead as they play the recording an evil power is unleashed taking over lindas body,0.0,0.0
1987,tt0093010,fatal attraction,dubious,28705563,0,321185920.0,"['Drama', 'Thriller']",['Paramount'],for dan gallagher life is good he is on the rise at his new york law firm is happily married to his wife beth and has a loving daughter but after a casual fling with a sultry book editor named alex everything changes jilted by dan alex becomes unstable her behavior escalating from aggressive pursuit to obsessive stalking dan realizes that his main problem is not hiding his affair but rather saving himself and his family,0.5,0.0
1987,tt0093105,good morning vietnam,notalk,26655166,0,254090104.0,"['Comedy', 'Drama', 'War']","['Touchstone Pictures', 'Silver Screen Partners III']",a disk jockey goes to vietnam to work for the armed forces radio service while he becomes popular among the troops his superiors disapprove of his humour,0.0,0.0
1987,tt0093177,hellraiser,ok,2050397,1,29861988.0,"['Horror', 'Thriller']","['New World Pictures', 'Cinemarque Entertainment BV', 'Film Futures', 'Rivdel Films']",after tinkering with a box he bought while abroad sexual deviant frank inadvertently opens a portal to hell where fetishdemons led by pinhead tear his body apart when frank’s brother and his wife move into his house a skeletal frank appears to his sisterinlaw and asks her to supply him with corpses for his regeneration,0.0,0.0
1987,tt0093409,lethal weapon,notalk,30755961,0,133670224.0,"['Adventure', 'Action', 'Comedy', 'Thriller', 'Crime']","['Silver Pictures', 'Warner Bros. Pictures']",veteran buttoneddown lapd detective roger murtaugh is partnered with unhinged cop martin riggs who  distraught after his wifes death  has a death wish and takes unnecessary risks with criminals at every turn the odd couple embark on their first homicide investigation as partners involving a young woman known to murtaugh with ties to a drug and prostitution ring,0.0,0.0
1987,tt0093773,predator,nowomen,36907153,0,122481612.0,"['Science Fiction', 'Action', 'Adventure', 'Thriller']","['Silver Pictures', '20th Century Fox', 'Lawrence Gordon Productions', 'Davis Entertainment', 'Amercent Films', 'American Entertainment Partners L.P.', 'Estudios Churubusco Azteca S.A.']",a team of elite commandos on a secret mission in a central american jungle come to find themselves hunted by an extraterrestrial warrior,0.0,0.0
1987,tt0093818,radio days,notalk,32806358,0,30331075.0,"['Comedy', 'Drama', 'Music']",['Orion Pictures'],the narrator tells us how the radio influenced his childhood in the days before tv in the new york city of the late 1930s to the new years eve 1944 this comingofage tale mixes the narrators experiences with contemporary anecdotes and urban legends of the radio stars,0.0,0.0
1987,tt0093870,robocop,notalk,246047687,0,112289613.0,"['Action', 'Thriller', 'Science Fiction']","['Orion Pictures', 'Metro-Goldwyn-Mayer']",in a violent nearapocalyptic detroit evil corporation omni consumer products wins a contract from the city government to privatize the police force to test their crimeeradicating cyborgs the company leads street cop alex murphy into an armed confrontation with crime lord boddicker so they can use his body to support their untested robocop prototype but when robocop learns of the companys nefarious plans he turns on his masters,0.0,0.0
1987,tt0094012,spaceballs,dubious,46544021,0,78160088.0,"['Comedy', 'Science Fiction']","['Brooksfilms Ltd.', 'Metro-Goldwyn-Mayer']",when the nefarious dark helmet hatches a plan to snatch princess vespa and steal her planets air spacebumforhire lone starr and his clueless sidekick fly to the rescue along the way they meet yogurt who puts lone starr wise to the power of the schwartz can he master it in time to save the day,0.0,0.0
1987,tt0094074,superman iv the quest for peace,ok,34856756,1,23021501.0,"['Action', 'Adventure', 'Science Fiction']","['Cannon Group', 'London-Cannon Films', 'Golan-Globus Productions', 'Warner Bros. Pictures']",with global superpowers engaged in an increasingly hostile arms race superman leads a crusade to rid the world of nuclear weapons but lex luthor recently sprung from jail is declaring war on the man of steel and his quest to save the planet using a strand of supermans hair luthor synthesizes a powerful ally known as nuclear man and ignites an epic battle spanning earth and space,0.0,0.0
1987,tt0093389,the last emperor,dubious,51259935,0,90184679.0,"['Drama', 'History']","['Hemdale Film Corporation', 'Recorded Pictures Company', 'Soprofilms', 'TAO Film', 'Yanco', 'Columbia Pictures']",a dramatic history of puyi the last of the emperors of china from his lofty birth and brief reign in the forbidden city the object of worship by half a billion people through his abdication his decline and dissolute lifestyle his exploitation by the invading japanese and finally to his obscure existence as just another peasant worker in the peoples republic,0.25,0.0
1987,tt0093437,the lost boys,notalk,17428378,0,66069067.0,"['Horror', 'Comedy', 'Thriller']",['Warner Bros. Pictures'],a mother and her two teenage sons move to a seemingly nice and quiet small coastal california town yet soon find out that its overrun by bike gangs and vampires a couple of teenage friends take it upon themselves to hunt down the vampires that they suspect of a few mysterious murders and restore peace and calm to their town,0.0,0.0
1987,tt0093779,the princess bride,men,30755961,0,63269112.0,"['Adventure', 'Family', 'Fantasy', 'Comedy', 'Romance']","['The Princess Bride Ltd.', 'Buttercup Films Ltd.', 'Act III Productions']",in this enchantingly cracked fairy tale the beautiful princess buttercup and the dashing westley must overcome staggering odds to find happiness amid sixfingered swordsmen murderous princes sicilians and rodents of unusual size but even death cant stop these true lovebirds from triumphing,0.0,0.0
1986,tt0090605,aliens,ok,36104000,1,180860331.0,"['Action', 'Thriller', 'Science Fiction']","['Brandywine Productions', 'SLM Production Group', '20th Century Fox']",when ripleys lifepod is found by a salvage crew over 50 years later she finds that terraformers are on the very planet they found the alien species when the company sends a family of colonists out to investigate her story—all contact is lost with the planet and colonists they enlist ripley and the colonial marines to return and search for answers,1.0,0.0
